run_id,seed,split,epoch,device_id,device_type,key_update_age,performed_key_update,session_duration_sec,sync_frequency,message_count_sent,network_type,network_ip,location_country,active_timezone,is_vpn,ip_changed,tz_changed,ground_truth_label
0,42,train,1,user0_phone,primary,1,False,18.57,1.01,1,WiFi,172.16.23.59,United States,America/New_York,0.0,0.0,0.0,0
0,42,train,1,user0_laptop,linked,1,False,16.48,0.82,0,VPN,198.51.100.57,United States,America/New_York,1.0,0.0,0.0,0
0,42,train,1,user0_silent_tablet,linked,1,False,0.0,0.0,0,WiFi,192.168.1.50,United States,America/New_York,0.0,0.0,0.0,0
0,42,train,2,user0_phone,primary,0,True,15.74,1.05,2,WiFi,172.16.23.59,United States,America/New_York,0.0,0.0,0.0,0
0,42,train,2,user0_laptop,linked,0,True,0.58,1.22,0,WiFi,172.16.23.90,United States,America/New_York,0.0,1.0,0.0,0
0,42,train,2,user0_silent_tablet,linked,2,False,0.0,0.0,0,WiFi,192.168.1.50,United States,America/New_York,0.0,0.0,0.0,0
0,42,train,3,user0_phone,primary,1,False,8.96,1.32,0,WiFi,172.16.23.59,United States,America/New_York,0.0,0.0,0.0,0
0,42,train,3,user0_laptop,linked,1,False,16.14,0.88,0,VPN,198.51.100.171,United States,America/New_York,1.0,1.0,0.0,0
0,42,train,3,user0_silent_tablet,linked,3,False,0.0,0.0,0,WiFi,192.168.1.50,United States,America/New_York,0.0,0.0,0.0,0
0,42,train,4,user0_phone,primary,0,True,22.99,1.14,1,WiFi,172.16.23.59,United States,America/New_York,0.0,0.0,0.0,0
0,42,train,4,user0_laptop,linked,2,False,7.29,0.97,0,WiFi,172.16.23.43,United States,America/New_York,0.0,1.0,0.0,0
0,42,train,4,user0_silent_tablet,linked,4,False,0.0,0.0,0,WiFi,192.168.1.50,United States,America/New_York,0.0,0.0,0.0,0
0,42,train,5,user0_phone,primary,1,False,7.88,0.88,1,WiFi,172.16.23.59,United States,America/New_York,0.0,0.0,0.0,0
0,42,train,5,user0_laptop,linked,0,True,9.23,0.82,1,WiFi,172.16.23.185,United States,America/New_York,0.0,1.0,0.0,0
0,42,train,5,user0_silent_tablet,linked,5,False,0.0,0.0,0,WiFi,192.168.1.50,United States,America/New_York,0.0,0.0,0.0,0
0,42,train,6,user0_phone,primary,0,True,10.98,1.25,0,WiFi,172.16.23.59,United States,America/New_York,0.0,0.0,0.0,0
0,42,train,6,user0_laptop,linked,1,False,18.7,1.08,1,WiFi,172.16.23.14,United States,America/New_York,0.0,1.0,0.0,0
0,42,train,6,user0_silent_tablet,linked,6,False,0.0,0.0,0,WiFi,192.168.1.50,United States,America/New_York,0.0,0.0,0.0,0
0,42,train,7,user0_phone,primary,1,False,8.63,1.0,0,WiFi,172.16.23.59,United States,America/New_York,0.0,0.0,0.0,0
0,42,train,7,user0_laptop,linked,2,False,16.06,1.18,2,WiFi,172.16.23.70,United States,America/New_York,0.0,1.0,0.0,0
